(0 - 1),0,0
(1 - 2),0,0
(2 - 3),0,0
(3 - 4),0,0
(4 - 5),0,0
(5 - 6),0,0
(6 - 7),0,0
(7 - 8),0,0
(8 - 9),0,0
(9 - 10),0,0
(10 - 11),0,0
(11 - 12),0,0
(12 - 13),0,0
(13 - 14),0,0
(14 - 15),0,0
(15 - 16),0,0
(16 - 17),0,0
(17 - 18),0,0
(18 - 19),0,0
(19 - 20),0,0
(20 - 21),0,0
(21 - 22),0,0
(22 - 23),0,0
(23 - 24),0,0
(24 - 25),0,0
(25 - 26),0,0
(26 - 27),0,0
(27 - 28),0,0
(28 - 29),0,0
(29 - 30),0,0
(30 - 31),0,0
(31 - 32),0,0
(32 - 33),0,0
(33 - 34),0,0
(34 - 35),1,0
(35 - 36),1,1
(36 - 37),1,1
(37 - 38),1,1
(38 - 39),1,1
(39 - 40),1,1
(40 - 41),1,1
(41 - 42),1,1
(42 - 43),1,1
(43 - 44),1,1
(44 - 45),1,1
(45 - 46),1,1
(46 - 47),1,1
(47 - 48),1,1
(48 - 49),1,1
(49 - 50),1,1
(50 - 51),1,1
(51 - 52),1,1
(52 - 53),1,1
(53 - 54),1,1
(54 - 55),1,1
(55 - 56),0,1
